message,user,date
gross that some in chat are like “move on already” self-centered heartless fks,raggeddyann,"2023-12-07 12:22:16,369"
@kaz90 exactly,leastderangedgrayname,"2023-12-07 12:22:16,632"
LookUp,mushroll,"2023-12-07 12:22:17,041"
"isn't there also american troops on ground there too?
""
",aj_squared,"2023-12-07 12:22:17,346"
"""israel can defend itself"" nonsense is just blank check for  genocide",tiberiumausten,"2023-12-07 12:22:17,452"
and thank you chat for caring,mischalux,"2023-12-07 12:22:18,782"
WTFF,eyezra_,"2023-12-07 12:22:18,811"
never stop covering what you need to cover,chrisvmusic,"2023-12-07 12:22:18,811"
the value of your labor goes toward israeli bombs,brcfrmn,"2023-12-07 12:22:18,811"
RIPBOZO,dako_i,"2023-12-07 12:22:18,811"
hasKomrade hasKomrade hasKomrade,aunt_effa,"2023-12-07 12:22:19,603"
YEP,n1naishere,"2023-12-07 12:22:19,664"
@HasanAbi Hell even our carrier is there to keep it a genocide and not a war Despairge,2bas3d,"2023-12-07 12:22:19,695"
EZ ModTime,mijnboot,"2023-12-07 12:22:19,792"
"@HasanAbi Do you support the creation of the People's Republic of Chattanooga
""
",inkypoison,"2023-12-07 12:22:20,113"
We are Tony Stark pre-iron man,michael_r_hassler,"2023-12-07 12:22:21,206"
Concerned,flysociety2o9,"2023-12-07 12:22:21,445"
<3 <3 <3,lovethekermit6,"2023-12-07 12:22:23,112"
RIPBOZO,n1cky99,"2023-12-07 12:22:23,800"
"Watching thisas broadcast is watching why I can't afford healthcare and have student loan debt
""
",witonis,"2023-12-07 12:22:25,456"
KEKL,carnagewolf1,"2023-12-07 12:22:26,155"
our silence is complicity in these atrocities,dianag512,"2023-12-07 12:22:27,282"
"@hasanabi, when will there be a tipping point for the international community to step in?? when there is no gaza anymore? When? i know they are arabs but they are people too",bacianana,"2023-12-07 12:22:27,310"
"@r33s3sp13c3s gotcha, thats what I was assuming but wanted to double check. Thank you!",theyoakster,"2023-12-07 12:22:28,306"
"idk if you would call yourself this because youre too humble but i would also say that you have an expert (or very close to expert) level understanding of the media's reporting of palestine man, if not the history
""
",h_siddiqui,"2023-12-07 12:22:28,715"
"this would not be as possible witout our go-ahead, not even sure what level of destruction would be possible without",mitchellmuffins,"2023-12-07 12:22:29,535"
LookUp ModTime bye loser,mushroll,"2023-12-07 12:22:30,866"
the least we can do is post on instagram,laelabella,"2023-12-07 12:22:32,095"
thank you for coverage haydLSlide,jaa_08,"2023-12-07 12:22:34,041"
I love how msm ignores that Hebrew media exists.,swarrlly,"2023-12-07 12:22:35,167"
thoughts on this tweet? https://x.com/breenewsome/status/1732855006154338373?s=46 @hasanabi,ok_osama,"2023-12-07 12:22:36,191"
"@HasanAbi remember the macabees killed jews who didn't agree with them politically fyiiiiii
""
",bortcobain,"2023-12-07 12:22:39,368"
"we have the opportunity that our great grandfather didn't do and deny what's going on
""
",classysmile101,"2023-12-07 12:22:39,538"
"here in nyc, I'm jewish unfortunately so many progressive synagogues are pro israel....we need to keep getting the word out in any way we can...
""
",royalhi5,"2023-12-07 12:22:42,631"
can we like shmerguilloutine shmoe shmiden?,0glowcat0,"2023-12-07 12:22:46,636"
"I like some of turkey toms content but @hasanabi  what is he saying you're lying about
""
",gormorus,"2023-12-07 12:22:48,584"
"Praying daily for all of them, never stop talking about gaza <3",b345t23,"2023-12-07 12:22:50,734"
"I regularly get Ketamine infusions done at a medical facility to help with treatment resistant ptsd and other mental health struggles. This last couple of months has had me in shambles where I cried for an hour straight during the treatment. There is so much pain that my heart and soul cannot comprehend and process. War, and it's many derivatives, fucking sucks.
""
",eevee_sprinkle,"2023-12-07 12:22:56,672"
"Talk until there's a free 🇵🇸
""
",halfnote_the_bard,"2023-12-07 12:22:56,700"
Thanks Hasan for using your platform to inform ppl about all of atrocities happening. You are a blessing,youngheartedmom,"2023-12-07 12:22:57,079"
COGGERS,mynewaccountisgreat,"2023-12-07 12:22:59,335"
@gormorus drama channel,enby_dee,"2023-12-07 12:23:00,741"
@hasanabi here is a great explanation of the oil and gas pipelines involved in this https://twitter.com/PalestineNW/status/1728898644223705187?t=-RtQL0Gg6Iemdq7I042vMA&s=19,mountaingermans,"2023-12-07 12:23:01,075"
@royalhi5 stay strong my friend <3,mischalux,"2023-12-07 12:23:01,408"
How are we going to make world peace happen in our lifetime?,ordergrowth,"2023-12-07 12:23:02,972"
AmericaMoment Looking,absolutwaffles,"2023-12-07 12:23:03,089"
"Watch Hasan's latest video on his official 2nd channel! this diss hurt my soul - https://youtu.be/wU_hGh1eRfM
""
",fossabot,"2023-12-07 12:23:08,961"
NODDERS,platypus_dreaming,"2023-12-07 12:23:09,268"
fr!!!,prole_radio,"2023-12-07 12:23:09,777"
NeverKever,niceharris,"2023-12-07 12:23:10,292"
KEKW,weakestoffliner,"2023-12-07 12:23:13,569"
congress had so much power,crimsontidalwave,"2023-12-07 12:23:14,593"
rest in power rafaat,allprologue,"2023-12-07 12:23:15,104"
hello my glorious king 😇 twirls hair,domokunluvr,"2023-12-07 12:23:16,539"
"@HasanAbi what blows my mind about all of this is that whenever the crimes of Hamas are discussed, it's literally only in reference to Oct 7. Israeli crimes have been committed for 60 days straight, all caught on camera, and this is just completely overlooked by all the psychotic pro-Zionists in western media
""
",thefarebear,"2023-12-07 12:23:16,567"
"Hasan can you explain why a genocide needs to occur to allow America to have it's strategic foothold from a liberal perspective? I dont understand why a 1 state solution would hinder that
""
",themighty023,"2023-12-07 12:23:16,668"
NeverKever,tiamani,"2023-12-07 12:23:18,996"
can we bring it back hasRaid,crimsontidalwave,"2023-12-07 12:23:19,943"
NODDERS,sofipeach88,"2023-12-07 12:23:20,737"
boarswan just subbed using Prime for 11 months! bleedPurple https://twitch.amazon.com/tp,fossabot,"2023-12-07 12:23:21,329"
Aware Wokege,weakestoffliner,"2023-12-07 12:23:21,435"
"@HasanAbi it's similar to the sea change in attitudes towards BLM thanks to Leftist activists and your and other people's coverage hasL
""
",redwineterroirist,"2023-12-07 12:23:22,488"
Elise “McCarthy “ Stefanik,praxissigma,"2023-12-07 12:23:24,425"
@RoyalHi5 NYer here also but not jewish. I just saw some posters here with barb wires around them. its so insane lately,egglighter,"2023-12-07 12:23:27,505"
Concerned,megaphonix,"2023-12-07 12:23:30,978"
Shrug,platypus_dreaming,"2023-12-07 12:23:31,596"
who,liberacc1,"2023-12-07 12:23:32,309"
"the palestinian people don't have much of a voice, and you're helping to provide that voice for a large amount of viewers
""
",amandalepre,"2023-12-07 12:23:33,845"
"world peace won't happen in our lifetime. that is the first step to world peace.
""
",sadiebaby222,"2023-12-07 12:23:33,986"
???,sofipeach88,"2023-12-07 12:23:34,112"
WH OMEGALUL,kittymazov,"2023-12-07 12:23:34,150"
KEKL,luscious_gandhi,"2023-12-07 12:23:34,284"
carWHO,mf_jewm,"2023-12-07 12:23:34,464"
WH OMEGALUL,hasanhuh,"2023-12-07 12:23:34,609"
wtf is a turkey tom,hasanisabi,"2023-12-07 12:23:35,381"
